COR CODEX — Super Matrix (27 Systems),,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE_SYSTEM,ENTRY,ALCHEMY,ARCHETYPES,COLORS,CRYSTALS,DEITIES,ELEMENTS,FREQUENCY,GEOMANCY,GEOMETRY,I_CHING,KABBALAH,LETTERS_HEBREW,LETTERS_LATIN,MAJOR_ARCANA,MAYAN,METALS,MINOR_ARCANA,NOTES,NUMBERS,PHYSIOLOGY,PLANETS,PLANTS,PLATONIC_SOLIDS,VICES,VIRTUES,ZODIAC,CHAKRAS
ALCHEMY,Calcination,Calcination,The Warrior; The Destroyer,Red; Gold,CARNELIAN; BLOODSTONE; PYRITE,Agni [Hindu]; Ares [Greek]; Sekhmet [Egyptian],Fire,396 Hz — Liberation,Rubeus — The Red One; Puer — The Youth,Triangle; Point,49 — Revolution (Ge); 51 — Aroused (Zhen),Geburah (Severity),Shin,C,XVI — The Tower; XX — Judgement,Chicchan,Iron; Gold,Ace of Wands; Knight of Wands,G,1,Adrenals; Digestive system,♂ Mars; ☉ Sun,Cayenne; Chili; Cinnamon; Ginger,Tetrahedron,"Pride (Arrogance, Hubris, Vanity); Violence (Aggression, Destruction, Abuse)","Will (Drive, Resolve, Bravery); Energy (Intensity, Creativity, Imagination)",♈ Aries; ♌ Leo,SOLAR-PLEXUS-MANIPURA
ALCHEMY,Citrinitas,Citrinitas,The King; The Hero; The Father,Yellow; Gold,CITRINE; SUNSTONE; AMBER,Apollo [Greek]; Helios [Greek]; Surya [Hindu],Fire,126.22 Hz — Sun,Fortuna Major — Greater Fortune; Laetitia — Joy,Circle,35 — Progress (Jin); 30 — Clinging (Li),Tiferet (Beauty),Resh,Y,XIX — The Sun,Ahau,Gold,Six of Wands; Queen of Wands,B,11,Heart; Eyes; Endocrine system,☉ Sun,Helianthus; Bay Laurel; Calendula,Dodecahedron,"Pride (Arrogance, Hubris, Vanity)","Joy (Celebration, Radiance); Confidence (Strength, Mastery); Clarity (Illumination, Healing, Vision)",♌ Leo,SOLAR-PLEXUS-MANIPURA
ALCHEMY,Coagulation,Coagulation,The Father; The King; The Healer,Green; Grey; Black,HEMATITE; JASPER; GREEN-AVENTURINE,Gaia [Greek]; Geb [Egyptian]; Ptah [Other],Earth,174 Hz — Foundation,Carcer — The Prison; Acquisitio — Gain,Cube,52 — Keeping Still (Gen); 15 — Modesty (Qian),Malkuth (Kingdom),Tav,G,XXI — The World; IV — The Emperor,Caban,Lead,Ace of Pentacles; King of Pentacles; Ten of Pentacles,F,7,Bones; Skeletal system; Muscular system,♄ Saturn,Oak; Cedar; Grain,Hexahedron,"Avarice (Hoarding, Overproduction); Repetition (Stagnation, Inertia)","Preservation (Survival, Resource awareness); Sovereignty (Authority, Nobility, Justice)",♑ Capricorn; ♉ Taurus,ROOT-MULADHARA
ALCHEMY,Conjunction,Conjunction,The Lover; The Queen; The Mother,Pink; Emerald; Copper,ROSE-QUARTZ; EMERALD; JADE,Aphrodite [Greek]; Eros [Greek]; Haniel [Angelic]; Inanna [Sumerian],Aether,639 Hz — Harmony/Connection,Conjunctio — Union; Puella — The Maiden,Vesica Piscis; Hexagon,31 — Influence (Xian); 13 — Fellowship (Tong Ren),Netzach (Victory); Tiferet (Beauty),Daleth; Vav,C,VI — The Lovers; III — The Empress,Lamat,Copper,Two of Cups; Ten of Cups,D♯,4,Reproductive system; Heart; Kidneys,♀ Venus,Rose; Jasmine; Myrtle; Apple Blossom,Star Tetrahedron (Merkaba),"Dependence (Naïveté, Blind belief, Over-conformity); Lust (Overindulgence, Hunger)","Union (Synthesis); Beauty (Grace, Magnetism, Delight); Fertility (Abundance)",♉ Taurus; ♎ Libra,SACRAL-SVADHISTHANA; HEART-ANAHATA
ALCHEMY,Dissolution,Dissolution,The Mystic; The Mother,Blue; Silver; White,MOONSTONE; AQUAMARINE; SELENITE,Selene [Greek]; Chalchiuhtlicue [Other]; Neptune [Other],Water,417 Hz — Facilitation,Via — The Path; Populus — The People,Circle; Sphere,29 — Abyss (Kan); 59 — Dispersion (Huan),Yesod (Foundation),Mem,D,XVIII — The Moon; XII — The Hanged Man,Muluk; Akbal,Silver,Ace of Cups; Eight of Cups,G♯,2,Lymphatic system; Blood; Kidneys,☽ Moon; ♆ Neptune,Lotus; Blue Lotus; Mugwort,Icosahedron,"Delusion (Illusion, Confusion); Dependence (Naïveté, Blind belief, Over-conformity)","Renewal (Transformation, Resurrection); Harmony (Alignment, Balance, Trust)",♋ Cancer; ♓ Pisces,CROWN-SAHASRARA
ALCHEMY,Distillation,Distillation,The Sage; The Mystic; The Priest,White; Silver; Indigo,CLEAR-QUARTZ; SELENITE; LABRADORITE,Hermes Trismegistus [Other]; Raphael [Angelic]; Metatron [Angelic],Air,852 Hz — Intuition,Albus — The White One; Fortuna Minor — Lesser Fortune,Hexagram; Line,61 — Inner Truth (Zhong Fu); 57 — The Gentle (Xun),Hod (Glory),Aleph; Bet,D,XIV — Temperance; I — The Magician,Ik,Mercury; Aluminum,Ace of Swords; Six of Swords; Queen of Swords,G♯,6,Lungs; Respiratory system; Nervous system,☿ Mercury; ♅ Uranus,Lavender; Eucalyptus; Mint,Octahedron,"Obsession (Attachment); Repetition (Stagnation, Inertia)","Clarity (Illumination, Healing, Vision); Insight (Awareness, Light in darkness)",♒ Aquarius; ♍ Virgo,THROAT-VISHUDDHA; AJNA-THIRD-EYE; CROWN-SAHASRARA
ALCHEMY,Fermentation,Fermentation,The Creator; The Mystic,Gold; Green,AMBER; CITRINE; PERIDOT,Dionysus [Greek]; Zeus [Greek]; Osiris [Egyptian],Aether,528 Hz — Miracles,Laetitia — Joy; Acquisitio — Gain,Pentagon; Flower of Life,50 — The Cauldron (Ding); 24 — Return (Fu),Chesed (Mercy),Kaph,F,XX — Judgement; XIV — Temperance,Chuen,Tin,Three of Cups; Nine of Cups,C,5,Digestive system; Liver,♃ Jupiter,Grapevine; Barley; Cacao,Dodecahedron,"Frivolity (False optimism, Sentimentality)","Renewal (Transformation, Resurrection); Joy (Celebration, Radiance); Fertility (Abundance)",♐ Sagittarius; ♓ Pisces,SOLAR-PLEXUS-MANIPURA; CROWN-SAHASRARA
ALCHEMY,Mortificatio,Mortificatio,The Destroyer; The Shadow; The Priest,Black; Grey,OBSIDIAN; JET; SMOKY-QUARTZ,Hades [Greek]; Anubis [Egyptian]; Archangel Azrael [Other],Earth,285 Hz — Transformation,Cauda Draconis — Dragon’s Tail; Tristitia — Sorrow,Square; Point,23 — Splitting Apart (Bo); 47 — Oppression (Kun),Binah (Understanding),Nun,M,XIII — Death; XII — The Hanged Man,Cimi,Lead,Ten of Swords; Five of Cups,C♯,9,Bones; Blood; Immune system,♄ Saturn; ♇ Pluto,Cypress; Poppy; Nightshade,Hexahedron,Nihilism (Detachment); Self-sacrifice (The shadow of service/martyrdom),"Freedom (Aspiration, Release); Devotion (Loyalty, Mercy, Compassion, Empathy)",♏ Scorpio; ♑ Capricorn,ROOT-MULADHARA
ALCHEMY,Putrefactio,Putrefactio,The Shadow; The Destroyer; The Healer,Black; Crimson,BLACK-TOURMALINE; OBSIDIAN; MOLDAVITE,Ereshkigal [Sumerian]; Hekate [Greek]; Pluto [Other],Water; Earth,285 Hz — Transformation,Rubeus — The Red One; Cauda Draconis — Dragon’s Tail,Point; Sphere,18 — Work on What is Corrupt (Gu); 48 — The Well (Jing),Malkuth (Kingdom); Binah (Understanding),Qoph,P,XIII — Death; XV — The Devil,Cimi; Akbal,Plutonium,Five of Pentacles; Eight of Cups,C♯,10,Digestive system; Immune system,♇ Pluto,Myrrh; Moss; Mandrake; Nightshade,Icosahedron,"Chaos (Disorder, Disarray); Delusion (Illusion, Confusion)","Renewal (Transformation, Resurrection)",♏ Scorpio,ROOT-MULADHARA; CROWN-SAHASRARA
ALCHEMY,Rubedo,Rubedo,The King; The Hero; The Healer,Red; Gold,RUBY; DIAMOND; GARNET,Christos [Other]; Osiris [Egyptian]; Sol [Other]; Phoenix mythos [Other],Fire; Earth,432 Hz — Harmony,Fortuna Major — Greater Fortune; Acquisitio — Gain,Flower of Life; Hexagram,63 — After Completion (Ji Ji); 14 — Possession (Da You),Tiferet (Beauty); Malkuth (Kingdom),Tav; Shin,R,XXI — The World; XIX — The Sun,Ahau,Gold; Iron,King of Wands; Ten of Pentacles,A,12,Circulatory system; Heart; Blood,☉ Sun; ♂ Mars,Rose; Pomegranate; Bay Laurel,Star Tetrahedron (Merkaba),"Domination (Harshness); Pride (Arrogance, Hubris, Vanity)","Sovereignty (Authority, Nobility, Justice); Joy (Celebration, Radiance); Union (Synthesis)",♈ Aries; ♌ Leo,SOLAR-PLEXUS-MANIPURA
